arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000188215,DCUN1D3,0.03803157366126575,0.6621854669593195,0.8120146106682525,3.6812742788674484,3.6432427052061827
DX,Pre-treatment,ENSG00000188295,ZNF669,-0.02278422279529768,0.6621854669593195,0.8120146106682525,1.8389487422010493,1.861732964996347
DX,Pre-treatment,ENSG00000165511,C10orf25,-0.03138047377668851,0.6621854669593195,0.8120146106682525,0.7336926977252033,0.7650731715018918
DX,Pre-treatment,ENSG00000166987,MBD6,0.050033470164632554,0.6621854669593195,0.8120146106682525,7.981944060514563,7.93191059034993
DX,Pre-treatment,ENSG00000142507,PSMB6,0.004921558152388705,0.6621854669593195,0.8120146106682525,5.418209709108923,5.413288150956534
DX,Pre-treatment,ENSG00000042832,TG,-0.030005943866856066,0.6621854669593195,0.8120146106682525,1.2375822258909321,1.2675881697577882
DX,Pre-treatment,ENSG00000270972,RP11-326C3.15,0.0646674793707005,0.6621854669593195,0.8120146106682525,2.3623511896782365,2.297683710307536
DX,Pre-treatment,ENSG00000068697,LAPTM4A,0.064684199202798,0.6621854669593195,0.8120146106682525,7.008240571480898,6.9435563722781
DX,Pre-treatment,ENSG00000176170,SPHK1,0.0665428256889844,0.6621854669593195,0.8120146106682525,3.7713254363924196,3.704782610703435
DX,Pre-treatment,ENSG00000116711,PLA2G4A,0.06777347366502484,0.6621854669593195,0.8120146106682525,2.8654862827706893,2.7977128091056644
DX,Pre-treatment,ENSG00000197045,GMFB,-0.04167112222700187,0.6621854669593195,0.8120146106682525,4.614821015298092,4.656492137525094
DX,Pre-treatment,ENSG00000180730,SHISA2,-0.014263125895535078,0.6675495003056549,0.8185225707405721,0.12736510088596184,0.14162822678149692
DX,Pre-treatment,ENSG00000243491,RP11-521D12.5,-0.029503959528067197,0.6676447032568965,0.8185225707405721,0.16370282604398842,0.19320678557205562
